В Японии ученики на доске пишут кисточкой с цветными чернилами?;True
В Австралии практикуется применение одноразовых школьных досок?;False
Авторучка была изобретена еще в Древнем Египте?;True
Шариковая ручка сначала применялась только военными летчиками?;True
В Африке выпускаются витаминизированные карандаши для детей, имеющих обыкновение грызть что попало?;True
В некоторые виды цветных карандашей добавляется экстракт моркови для большей прочности грифеля?;False
Римляне носили штаны?;False
Если пчела ужалит кого-либо, то она погибнет?;True
Правда ли что, пауки питаются собственной паутиной?;True
В одном корейском цирке двух крокодилов научили танцевать вальс.;False
На зиму пингвины улетают на север?;False
Если камбалу положить на шахматную доску, она тоже станет клетчатой.;True
Спартанские воины перед битвой опрыскивали волосы духами.;True
Мыши подрастая становятся крысами?;False
Некоторые лягушки умеют летать?;True
Дети могут слышать более высокие звуки, чем взрослые?;True
Глаз наполнен воздухом?;False
Утром вы выше ростом, чем вечером?;True
В некоторых местах люди по-прежнему моются с помощью оливкового масла?;True
Летучие мыши могут принимать радиосигналы?;False
Совы не могут вращать глазами?;True
Лось является разновидностью оленя?;True
Жирафы по ночам отыскивают с помощью эха листья, которыми питаются?;False
Дельфины — это маленькие киты?;True
Рог носорога обладает магической силой?;False
В некоторых странах жуков-светляков используют в качестве осветительных приборов?;True
Мартышка обычно бывает размером с котенка?;True
Счастливая монета Скруджа была достоинством в 10 центов?;True
Дуремар занимался продажей лягушек?;False
Мойву эскимосы сушат и едят вместо хлеба?;True
Радугу можно увидеть и в полночь?;True
Больше всего репы выращивают в России?;False
Слон, встречаясь с незнакомым сородичем, здоровается следующим образом — кладет ему хобот в рот?;True
Настоящее имя Ганса Христиана Андерсена было Свенсен?;False
В медицине диагноз «синдром Мюнхгаузена» ставится пациенту, который много врет?;False
Рост Конька — Горбунка составляет два вершка?;False
Первое место среди причин гибели от несчастных случаев в Японии в 1995г. заняли туфли на высоком каблуке?;True